id;company;location;type;user_id
905;-;-;USR;905
906;-;-;USR;906
908;-;-;USR;908
910;-;Beijing;USR;910
911;-;-;USR;911
913;Brown University;-;USR;913
914;PWS Alaska LLC;Anchorage Alaska;USR;914
915;-;-;USR;915
917;THSS;-;USR;917
918;-;Washington DC;USR;918
919;-;-;USR;919
920;-;-;USR;920
921;-;Canada;USR;921
922;-;-;USR;922
923;-;-;USR;923
924;-;DE;USR;924
925;-;-;USR;925
928;-;-;USR;928
929;-;-;USR;929
930;Kickstarter;Brooklyn NY;USR;930
931;-;-;USR;931
932;-;-;USR;932
933;-;-;USR;933
934;-;-;USR;934
935;-;-;USR;935
936;ZenDeals;--;USR;936
937;-;Singapore;USR;937
938;NTHU CSIE;-;USR;938
939;-;-;USR;939
941;-;-;USR;941
942;;-;USR;942
946;-;-;USR;946
948;-;-;USR;948
949;-;-;USR;949
950;-;-;USR;950
951;-;-;USR;951
952;-;-;USR;952
953;hust;wuhan;USR;953
954;-;-;USR;954
955;-;-;USR;955
956;Top Line View;London;USR;956
957;Industrial Remote-Controlled Peanut Butterers Parts & Supplies and Bagels Company;http://gitorious.org/tlevine/;USR;957
958;-;-;USR;958
960;-;Germany;USR;960
961;;Boulder;USR;961
962;-;-;USR;962
963;Princeton Plasma Physics Laboratory;Princeton NJ;USR;963
964;-;-;USR;964
966;AVOS;BeiJing;USR;966
967;-;-;USR;967
968;-;-;USR;968
972;-;-;USR;972
973;-;San Francisco;USR;973
974;-;Sydney;USR;974
975;-;-;USR;975
976;-;-;USR;976
978;-;-;USR;978
979;-;-;USR;979
980;Wlab Inc.;Seoul/Korea;USR;980
981;-;-;USR;981
982;douban.com;China;USR;982
983;-;-;USR;983
984;Ant Genomics & Evolution;Queen Mary University London;USR;984
985;-;-;USR;985
986;-;Syracuse;USR;986
987;-;-;USR;987
988;-;-;USR;988
989;-;-;USR;989
991;sangfor;ShenZhen in China.;USR;991
992;-;-;USR;992
993;-;-;USR;993
994;-;-;USR;994
995;-;-;USR;995
997;-;-;ORG;997
998;-;-;USR;998
999;-;-;USR;999
1000;Orchestra Entertainment;China;USR;1000
1001;;;ORG;723881
1002;;Paris  France;USR;1089744
1003;;;USR;12111571
1004;Cin;UFPE;USR;15001116
1005;;Amsterdam The Netherlands;USR;156265
1006;iflix;Malaysia;USR;1611276
1007;;Park Slope NYC;USR;3758364
1008;Tencent  Shenzhen;Shenzhen China;USR;3820920
1009;;;USR;4742081
1010;;;USR;595709
1011;;;USR;6407116
1012;Red Hat;;USR;959822
1013;;;ORG;647025
1014;@EMBL-EBI-TSI at EMBL - European Bioinformatics Institute;Cambridge  UK;USR;692262
1015;;San Francisco / Mexico City;USR;388349
1016;Mendeley Ltd;London;ORG;360932
1017;Twitter Inc;San Francisco CA;ORG;50278
1018;IBM MobileFirst Foundation Developer Center;;ORG;12657800
1019;;;;19693
1020;;;;22362
1021;;;;10746780
1022;;;;49071
1023;;;;12731565
1024;;;;1074304
1025;;;;555648
1026;;;;25111
